"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR39238554"	0.361261533308021	0.243782784477524	0.369413197675216	0.437423266036783	0.498766183546421	0.0477204179997363	0.476300420695325	0.063280742414676	0.155236446874238	0.230726749285899	0.214462153929351	0.120995044744875	0.244330474006751	0.172966984769034	0.578815385032972	0.1815925209428	0.0586979574011617	0.237212897310888	0.740429272182885	0.151644186138607	0.120939861040998	0.0662765709185583	0.151134392196123	0.153974494421818	0.106619078357944	0.472144651789131	0.198057708762383	0.518883395533215	0.377591102456651	0.153158328175067	0.246677436453388	0.357654913893244	0.23054598765471	0.426236488701127	0.323752601631928	0.378156047797215	0.0680381495305712	0.276966230291083	0.283483574140346	0.275474020916127	0.172154246779558	0.590877474276507	0.369256445672098	0.415372785813806	0.464695017677992	0.212157912065386	0.2945726021066	0.426137917173059	0.645034580649669	0.379540936184227	0.535542440673795	0.292742844363336	0.193700442597112	0.266969330531036	0.202906348555312	0.427931793305142	0.615814298496718	0.19923281847218	0.0961834600080764	0.167891364125351	0.157708039310313	0.368318141505724	0.430199982457231	0.132180420825006	0.206661650870384	0.337793608890995	0.398190537615328	0.518249111699539	0.26747261877167	0.111243850382929	0.683424533271932	0.0630728000969765	0.452905368926035	0.209242461733533	0.159984985522176	0.323026442991021	0.449145793193947	0.185424572092357	0.270645105255865	0.321959261147165
"SRR39238457"	0.969092701347451	0.538966158557329	0.712931684979357	0.699186517860317	0.772876158765084	0.805469387531739	0.874902232049453	0.886097437447016	0.940529737035816	0.773439684504109	0.89565936918895	0.596195219015545	0.322041969670793	0.797770839750163	0.914547024569024	0.678035961453075	0.893685471909891	0.818201062978302	0.558107712935864	0.413084638322764	0.480838472142897	0.218841533224336	0.641846243166922	0.276954728847083	0.620833980209374	0.927930946345655	0.856853491588164	0.755815004109741	0.826970908665882	0.502937833202712	0.541727522251769	0.948547690353018	0.87413949196145	0.910464422255691	0.91407098645984	0.9284537836352	0.85307919642893	0.900841216081634	0.923125400940436	0.927160448893953	0.136194913954544	0.845993208514824	0.762642794890524	0.876375702189165	0.858828543558236	0.929412146941362	0.615548968148911	0.926363719194065	0.98130794750807	0.929642623804349	0.819599196203436	0.780511025192367	0.887881059170678	0.949134274623019	0.851617354966835	0.953593432812434	0.202309200968814	0.47592485040845	0.876329040790826	0.846849463454113	0.811027615257739	0.93113577151495	0.766395122730812	0.942191550403408	0.890281880743594	0.732862062851647	0.900364629234386	0.737399622807118	0.276821146277652	0.0894479416008829	0.966468800341005	0.904664399404355	0.918047407773048	0.609450482751479	0.702392299121249	0.449966891583215	0.907512774229873	0.805166458299864	0.556722769413563	0.953295708938516
"SRR39238553"	0.133868754050882	0.162644444803433	0.174056989904787	0.121404376348836	0.108481065507583	0.146723918584177	0.202631790392334	0.12102853020349	0.117527867149773	0.186384922037677	0.212380732456164	0.139624228255337	0.104725575306115	0.225305651575812	0.113734769194836	0.175280476578852	0.15023250718041	0.136411153867044	0.148369138152475	0.313383152572956	0.139989720174663	0.109944348455666	0.182680383666764	0.0991288101231224	0.238130849542478	0.0980238634257421	0.147090564311305	0.0998645308475608	0.159292384107844	0.135446760274884	0.187877047838352	0.19856718299115	0.121810649998064	0.132658379209295	0.140042164844717	0.0738106523579083	0.162730080582081	0.211928514944423	0.145859414437879	0.26800413378001	0.117854050072598	0.125134784957479	0.12744678387856	0.150542496232929	0.175124194516861	0.165603671261695	0.172606815245733	0.127604130265404	0.124130795921373	0.134480390954897	0.0895292255783332	0.181450297040164	0.168482584985726	0.227022864335103	0.122655848820907	0.177276416756418	0.112642844076941	0.169578679487951	0.272017560203707	0.163243852805541	0.274494870069317	0.135815723729971	0.163719050812078	0.184468700369134	0.235827292558653	0.216195899120812	0.080954729414835	0.168411644554009	0.11724761524977	0.141408787774137	0.156843243040803	0.189920893806779	0.117538496615953	0.250640967367015	0.161156742440219	0.183043240802677	0.242089534796586	0.263726097616101	0.206500510007801	0.158133111905632
"SRR39238456"	0.240151405769458	0.196654899279981	0.200813990629517	0.170006903852022	0.15928838543204	0.176416546253192	0.175982106835483	0.180628012471144	0.124348964506728	0.209027821552133	0.18082817129079	0.17731956161199	0.132386900567944	0.244410558397796	0.17705248881119	0.134272693194831	0.17972433133618	0.133384103469263	0.176329184829319	0.294996856392839	0.169682331868219	0.117678842288588	0.103867193540346	0.143576092553387	0.272862058479844	0.136148453856732	0.143210822697775	0.161435969028845	0.149224089379299	0.192971263616717	0.197684990761048	0.182105461967157	0.24985724483776	0.160874947763376	0.183329326445238	0.277766313054212	0.238797605508016	0.212144572573562	0.250873526716446	0.206357572067295	0.161237118367068	0.254285870136944	0.207146263462254	0.156189317679325	0.145332620164099	0.149655913820646	0.197082319427912	0.180096051081357	0.176414091330611	0.210523330541545	0.248474869854825	0.161339295799768	0.168291736490735	0.159446970156578	0.21646584217817	0.222592882085849	0.188138957761228	0.20710633033452	0.257338180744605	0.144964033823424	0.264916280374505	0.137038844956255	0.190213417598261	0.107037242269401	0.15492997785111	0.137887254151779	0.201851340288004	0.199327070490945	0.173080710820802	0.146245121756823	0.179384601302405	0.228121388065615	0.183296581518299	0.343495012225806	0.274416068836041	0.254903080750745	0.212628265739132	0.319658342060171	0.165682135330882	0.144367594695476
"SRR39238532"	0.0691403292302405	0.154460555454432	0.1271321619548	0.142909337501965	0.132945636348039	0.0384304579049962	0.152054906242499	0.0414410081493222	0.0991534176942526	0.0907209058198688	0.113000306049189	0.174189823378429	0.053198623117519	0.0447703821120714	0.0817170940325461	0.183998075876821	0.0270112670668957	0.130543158836827	0.119549448863509	0.0933769127794007	0.208435214979307	0.128335955143836	0.172056702064173	0.0787187076216121	0.0389292212610088	0.0779419543462903	0.150330801372583	0.0586341403065291	0.176089903103258	0.152534624525944	0.168540848076804	0.0932957863844903	0.0848981603661631	0.120460112421877	0.1190939234366	0.0572927432670246	0.0680159157227424	0.129607268264977	0.0503105828770218	0.0861028762416762	0.0753901787330938	0.161951409734542	0.0834379121057375	0.144139869283649	0.107632676944869	0.0779493589243315	0.168706722373656	0.10078740399541	0.068393670317972	0.069138203485058	0.134457210114042	0.107819031840316	0.114291457551522	0.0962584313744505	0.0600965688307161	0.0714151742829659	0.0775392840548523	0.149318555669785	0.0539951948514949	0.0946819442421796	0.0791003785445295	0.068709229019094	0.0946570620719576	0.154931251966387	0.116522278417582	0.160554810181834	0.119388181910672	0.157125992819869	0.0692885907515864	0.0672721040728484	0.0854547029463792	0.0353913021229075	0.109818842829752	0.0645292991643095	0.0825567064122978	0.111870819897572	0.0869404621476951	0.0922269090616798	0.18780254293548	0.108431575084233
"SRR39238521"	0.120631452946873	0.197950460140978	0.167460037914526	0.181413526756755	0.17104362775637	0.0365697495690645	0.156777341817528	0.065878897060882	0.138133707324045	0.137696005926121	0.144225155529766	0.2648748175531	0.0920735205064031	0.0911033767077697	0.102527494426802	0.21905795393015	0.0689827299105293	0.125545087751212	0.133697906432219	0.130520494260352	0.329274301611954	0.103338047331512	0.204621847177954	0.0955089419239229	0.0751752504484931	0.103839484910954	0.149669660737871	0.0584513772608495	0.161542039309177	0.260223760317641	0.200036119492285	0.134449305050579	0.138618376309802	0.110707032412207	0.109318246528184	0.143849766088561	0.103967801713075	0.131602079813108	0.105612380505171	0.137099748515008	0.0562276047182555	0.158796656738797	0.110664054204229	0.138911840656079	0.10095544483609	0.0784115853500817	0.192906773338194	0.130736529645834	0.0905584691434563	0.111370231266626	0.181296330078575	0.0800575126652635	0.0838701412797937	0.107163165576593	0.107810654296814	0.114522923225696	0.135683707031357	0.18473634492603	0.0737498375101378	0.130827132002877	0.0883391229603544	0.0916873315243647	0.102285729249084	0.12329955008646	0.115566640044752	0.156493748958646	0.131870279416238	0.197172889829978	0.066923228968657	0.0483192234691228	0.084277022233119	0.0497146959514927	0.139499325888118	0.0808898556644843	0.13991906825524	0.141144195824831	0.108361761759003	0.134231355137875	0.209084794390155	0.118407581463496
"SRR39238498"	0.265214045384158	0.338218983905501	0.326674133442263	0.307237837823653	0.290140741589659	0.273175103991448	0.325940227117727	0.183290669400338	0.4610876205436	0.335510349053742	0.257577973941647	0.440450155936352	0.117738401828766	0.2547556285954	0.221926574205688	0.44545261126922	0.216566173138209	0.154787307708632	0.154081206264473	0.15281322794553	0.571514419044313	0.294482804705154	0.401130382639854	0.136894219665061	0.0950893618352655	0.239601325357987	0.485991248832939	0.119772938961903	0.331146575238935	0.424782901906158	0.350426978152079	0.275638513511137	0.314825856573848	0.361634684754688	0.205926338128411	0.255716713059894	0.326204961462962	0.229962820282092	0.13423647729685	0.486608105084982	0.096132483270236	0.287727486747661	0.204233977261287	0.280923645585007	0.18369194194153	0.179405336136255	0.350070705453404	0.205675530700275	0.245995715114092	0.349020075970917	0.268358928517416	0.126656929996602	0.201912926605638	0.304459354023146	0.231525901978531	0.234718862693049	0.189393466543637	0.334429504821332	0.106459671941951	0.262915387576791	0.153388759159155	0.158417363498276	0.173553184871272	0.506224496513397	0.195455863295146	0.227267716284851	0.198420422110333	0.355815845205232	0.121090809549935	0.0877810864024615	0.21635335705092	0.19381162571247	0.236317954854641	0.0764356121577912	0.257996635626783	0.216926169497872	0.195286695984031	0.234889081927373	0.353621352607357	0.314924268412763
"SRR39238471"	0.193410635470042	0.156634566199856	0.137665247691469	0.137929805042141	0.123922253282871	0.0866352322787809	0.10421788007187	0.105600427872437	0.0987459289102702	0.246800697587364	0.144975015409398	0.148974802734663	0.120461126837674	0.0636454974857802	0.137056021259013	0.15531817185362	0.0543067444654936	0.108442279110676	0.152868216561545	0.118379161073404	0.115212631541782	0.134785926481191	0.12536028489894	0.114191266163941	0.0705736667106687	0.120130774574154	0.125942142267805	0.103504094080419	0.0885012860150633	0.140659033889147	0.17951660863235	0.101824530288476	0.0865838314165481	0.0987692066543913	0.0689800561006532	0.114606953411838	0.046876283501221	0.0913426772722305	0.0812043950280378	0.127080880605209	0.0719961811706992	0.0909747943882564	0.149757532762809	0.084991754588656	0.0935428697031396	0.0878495570138246	0.181877642461779	0.104490778264286	0.0942215409415961	0.112652942864996	0.0963154873857292	0.0852494453227907	0.0715468680570903	0.0980271838208395	0.0884209509483237	0.103019417206324	0.162821529891489	0.181057845037529	0.0539881472086287	0.148218710901	0.0947309252799458	0.0928642843835399	0.103848546677329	0.0868134570106611	0.0789731282260581	0.112203001128916	0.0850160563228985	0.1470205508266	0.127290939850898	0.0465123238774667	0.0845432868729648	0.0611487439935416	0.0703645019582459	0.0612499262585902	0.113158754170379	0.114743577150465	0.113734112247353	0.0924289989510252	0.181943809096341	0.0874677111767946
"SRR39238492"	0.14547669564754	0.208054698862945	0.185028707400762	0.173073003623194	0.151671683035724	0.154103823148387	0.137322411300582	0.111136077586265	0.170983387200821	0.130946034027861	0.187997315224767	0.225349158326658	0.165324597811777	0.122247858803617	0.134912183555316	0.209005911450794	0.159380583836193	0.1363891082794	0.175798646822759	0.13622650042931	0.20892087984797	0.222752638006768	0.173529078630414	0.169244354689041	0.112569379034058	0.122422096283799	0.181121640294693	0.113249756734491	0.140214804378366	0.204683869195059	0.22971918773659	0.0912055213538695	0.122440830227668	0.135234881585675	0.130989255265808	0.114994917372588	0.143303885060678	0.155296111015611	0.0865034885399819	0.173289864415961	0.112561468009124	0.134544101584735	0.130296164615733	0.148631364218355	0.117900188479495	0.151910828555044	0.222205060497154	0.0914681635768655	0.166867350698361	0.142534782113798	0.125007901804593	0.158872825328515	0.149062423961938	0.134342222078797	0.184346675999612	0.0805979352507287	0.177802892945176	0.249175660489392	0.0950328900755826	0.159724177608042	0.135825938574937	0.0991563093674335	0.144494086485705	0.210917715397439	0.12491142042715	0.138321859015062	0.113051008574028	0.182141844399591	0.150289305689117	0.131805714104295	0.0948463171220758	0.162282066559058	0.0977344018503889	0.0916422450307478	0.153823577621167	0.153846746468033	0.0861470794321953	0.12382407529088	0.223013032137046	0.139827512662759
"SRR39238481"	0.0892800757998672	0.142015466942667	0.134659546465306	0.114242344108667	0.100190383244923	0.100599678102139	0.115885304619284	0.0612477593588999	0.072810459081643	0.151581229518264	0.118167777408309	0.119881689239678	0.0995799105861978	0.109749891117026	0.0903203625299076	0.167136566871698	0.130640643760227	0.302962941109795	0.140883455158043	0.166232979790498	0.102578775883434	0.097681204627898	0.188901690958117	0.0737734689969866	0.0923748659116265	0.108190623425668	0.120602921463212	0.0735707260899263	0.0875230992391416	0.107540394152205	0.1703848374233	0.101771257670121	0.0548020917974562	0.10033313043496	0.0998910961183384	0.0451075833649673	0.0489456137612864	0.0935203217330812	0.0895732371566957	0.0870531028496234	0.0791222874287296	0.0621692905363	0.0924327709511926	0.10632404347877	0.161802087251394	0.0868235139423297	0.167874701138623	0.0801493837408486	0.143764010345874	0.0692250813381115	0.0617701581846743	0.239967964577309	0.0867689913137116	0.106659765209875	0.163038483049389	0.0978901688846186	0.0918557635000734	0.168050086243642	0.0772037852611016	0.194666458919345	0.389159839813378	0.147932723374055	0.138583137692129	0.354441365262239	0.115613045435369	0.210852409375799	0.0569694718893976	0.134853755584866	0.0956484002578337	0.0748819403370083	0.0860789687346278	0.0626823431415402	0.0853319963832345	0.0700502535998547	0.097660494244511	0.0906947279457057	0.151667689053724	0.0946209503616933	0.197034909296843	0.143430266216647
