"Model_1"	"Model_2"	"Model_3"	"Model_4"	"Model_5"	"Model_6"	"Model_7"	"Model_8"	"Model_9"	"Model_10"	"Model_11"	"Model_12"	"Model_13"	"Model_14"	"Model_15"	"Model_16"	"Model_17"	"Model_18"	"Model_19"	"Model_20"	"Model_21"	"Model_22"	"Model_23"	"Model_24"	"Model_25"	"Model_26"	"Model_27"	"Model_28"	"Model_29"	"Model_30"	"Model_31"	"Model_32"	"Model_33"	"Model_34"	"Model_35"	"Model_36"	"Model_37"	"Model_38"	"Model_39"	"Model_40"	"Model_41"	"Model_42"	"Model_43"	"Model_44"	"Model_45"	"Model_46"	"Model_47"	"Model_48"	"Model_49"	"Model_50"	"Model_51"	"Model_52"	"Model_53"	"Model_54"	"Model_55"	"Model_56"	"Model_57"	"Model_58"	"Model_59"	"Model_60"	"Model_61"	"Model_62"	"Model_63"	"Model_64"	"Model_65"	"Model_66"	"Model_67"	"Model_68"	"Model_69"	"Model_70"	"Model_71"	"Model_72"	"Model_73"	"Model_74"	"Model_75"	"Model_76"	"Model_77"	"Model_78"	"Model_79"	"Model_80"
"SRR11292125"	0.553079320085679	0.43917263121869	0.394281078031496	0.452875687676066	0.448466275007879	0.328957350745508	0.395361429367076	0.412977514530907	0.543321186812723	0.499124934717299	0.658960543008613	0.265985319022237	0.444130459764096	0.773192507620396	0.580206377051435	0.409964167225882	0.630586403647621	0.356368674835837	0.274257750090997	0.333381751971119	0.173853833761238	0.365318090124964	0.278862141854821	0.470586457572352	0.116347457408131	0.476858599085783	0.539544780304641	0.451081066440822	0.384389696154866	0.284474864930921	0.472488882360097	0.349450602751068	0.319569524906348	0.549100671727588	0.516067344996756	0.472585846206379	0.259031997050638	0.571020792334988	0.524099198543283	0.743710311425556	0.39858415538315	0.521253057708313	0.689961912113866	0.422774980537609	0.331730541787888	0.680347227110325	0.5186098205131	0.41835356843897	0.717041322885864	0.764533277187331	0.533809005792357	0.437108072865193	0.548053946206358	0.429698462375599	0.781900593624782	0.411398988596154	0.452806412792936	0.525017180133931	0.355639337710852	0.433106422376424	0.406224338997407	0.560101518463572	0.453142862391838	0.384516417492768	0.402632429882701	0.279996696588519	0.503796860177393	0.437996360095071	0.422596708664829	0.340284920711938	0.624457342974472	0.578676458706767	0.375257165925544	0.449303273364129	0.379805416545496	0.416254689744222	0.346277113497402	0.335882882983872	0.421165066227244	0.431411347521263
"SRR11292126"	0.188284002399183	0.256353161313132	0.223443502123266	0.203218931873402	0.177086429329645	0.736755173493666	0.185986432286077	0.527002733636697	0.340972334382782	0.315629451530735	0.387031486992482	0.571950356700383	0.628115494265598	0.38387209805643	0.164273941660355	0.284456335157592	0.487164926329439	0.481073602225283	0.510676556359447	0.300383201537679	0.489106046958543	0.752321980695039	0.373864579677154	0.350959366448111	0.414918048926458	0.136222153624943	0.387375582035593	0.234442360627374	0.161711421930729	0.4098690376318	0.279579535525564	0.255397457654796	0.770620696114296	0.667259195964642	0.42426079758627	0.177775835350523	0.533662674580644	0.362242139627341	0.229048206932312	0.278178190091197	0.665389440625393	0.13602466116033	0.230677751503568	0.471753358048964	0.54869541448559	0.528497586577323	0.278480129502256	0.242110466878092	0.479984514213627	0.696667664787073	0.144701825524192	0.6016188283238	0.400732813049317	0.303415110985033	0.463952578139982	0.389026361354342	0.37862944534959	0.337204821548497	0.376767082621504	0.593001410936785	0.413488797197722	0.409913392556842	0.505229455667149	0.483642704044672	0.487773396938797	0.548166611518339	0.28053133381111	0.478052214604211	0.776514430940774	0.755851665952768	0.624907822480598	0.435012627361771	0.183128055215004	0.303464371193703	0.538026885707	0.274668845054156	0.426170547920195	0.513631414531433	0.281498357503098	0.281307075763824
"SRR11292127"	0.206300761461596	0.244976579160928	0.194986693812238	0.217201616553509	0.193298700698244	0.612714872001072	0.134252169613817	0.523366009377557	0.358270005255688	0.381270529459873	0.342533275632243	0.502915440623584	0.587078574397937	0.579587590304731	0.16491203435681	0.249539106593092	0.556482616055944	0.378343258395467	0.444038040349583	0.178011941126205	0.38507421412508	0.518145398960827	0.250273599808649	0.299838629581509	0.210161017121773	0.16347070693203	0.325741581808284	0.142579682587027	0.144164307572656	0.394999867388215	0.268767183405211	0.175135181729709	0.663834768863131	0.549971442948249	0.396151990368999	0.270099173946812	0.410408115252492	0.338947165329872	0.203589781331482	0.589178811243054	0.5591567656947	0.152650425956773	0.341324844927509	0.40809040811546	0.450774092405703	0.50675932485033	0.272792077205898	0.238822908004133	0.361864713779724	0.58848925367129	0.182866455525294	0.521108181228976	0.369895671576831	0.187219567682707	0.45789189730377	0.324331848830782	0.429559974844242	0.327005017247326	0.275050953248882	0.501110108608483	0.32893768906811	0.396438401234289	0.370942315826214	0.405768297560442	0.367395547492795	0.39489255683931	0.33805728074106	0.399112998245454	0.558445214471144	0.606539880532023	0.479160333778482	0.395134294489029	0.181381988222647	0.233996222052196	0.513716836687308	0.207311302991922	0.326921494765075	0.436965932012988	0.25268345271099	0.219357801534375
"SRR11292131"	0.654186391233105	0.506227421089666	0.45355277278615	0.579013177486577	0.586011610472372	0.395082435247146	0.359148473427792	0.624544206914258	0.542603652762682	0.656222709520211	0.798878529434484	0.259104692209057	0.706516414653561	0.710844149047738	0.785559301558594	0.517154656543473	0.809151864267543	0.419073388150288	0.311870062945914	0.188456329114469	0.127413675299899	0.413881407848608	0.36696859439142	0.683970405999852	0.214522698221314	0.715417224993303	0.623105190361136	0.618737263657266	0.411122397569069	0.255467313584592	0.546577696129356	0.492380625601197	0.266497188480799	0.74969730877982	0.699126916130817	0.82556625395245	0.16066221552715	0.760449081886797	0.668403449002329	0.914636775420861	0.643845505382121	0.511136876283371	0.71658516984222	0.53875777208243	0.49575781108268	0.805237340236246	0.640240547975869	0.697081062317335	0.898446094057847	0.880737741681206	0.58714006651419	0.696265169052796	0.703657210494366	0.573047045626016	0.815781296368938	0.587800786684643	0.519392530699113	0.615096466251686	0.519728049986802	0.531013080767485	0.560862046520841	0.75217660367568	0.537805080339628	0.608473972572268	0.600634976943726	0.352182155694885	0.816518742941121	0.511503918127887	0.665154988905035	0.486154882777917	0.788554795773358	0.706654784052733	0.602548965395908	0.262796693750511	0.272883797651162	0.335945016222952	0.46373882059706	0.272128967237698	0.516706705452069	0.627267855497631
"SRR11292132"	0.294797719501643	0.319647390737294	0.281240093176202	0.29001241001673	0.283770680840962	0.789785894893736	0.306784704226989	0.665819944958644	0.400625839625497	0.494920724675572	0.638904477306471	0.664448896537844	0.627720516090159	0.549122012419289	0.243740949132481	0.30563964364856	0.544678218175783	0.695433684626424	0.540692170248962	0.550017849836463	0.619252738546919	0.791349112631764	0.432548899290896	0.429932153095871	0.867143469623342	0.16347070693203	0.59443767874998	0.28540322671372	0.402543300142824	0.539260668465741	0.29862275982105	0.464028284026759	0.910698476264453	0.754726950059318	0.597594006787026	0.677030079763729	0.73778228665753	0.700308567865398	0.382953416705901	0.583760437484893	0.686572042265006	0.362068831700029	0.434581867701478	0.584720491732466	0.68814284432402	0.630359170403725	0.283142470996517	0.459384407496963	0.698319003500227	0.859111788863431	0.39756117984181	0.643409692392097	0.493872102374802	0.406998949643405	0.55008767465249	0.580174175746939	0.481114326790438	0.341606477719897	0.676152711009259	0.717031300791301	0.536924064126755	0.519443952075792	0.673054507482942	0.608388721973038	0.637512225595035	0.657759707289791	0.675325569629088	0.56754416826718	0.806713577073959	0.796600986017852	0.750637984838268	0.608372074455623	0.423274476459382	0.824479189137017	0.766713779259173	0.447009023408983	0.621389333308491	0.736182767218216	0.301871538569255	0.412370047670458
"SRR11292136"	0.213335974673928	0.242987197616919	0.201596814097258	0.206742071301321	0.181404557779849	0.566399797800811	0.14727553531748	0.500915022066643	0.155915669363813	0.455667967033864	0.417450751677079	0.380577341816828	0.641034204946672	0.482328796691144	0.171149353252716	0.242139942435324	0.58222533509513	0.338051798700757	0.377189743182617	0.195634183411096	0.272123699900393	0.576457612071422	0.21350748127118	0.353473912929489	0.215290551793788	0.16347070693203	0.306387489822221	0.226629143737117	0.151142948359567	0.322648631618209	0.273888043952081	0.153612629163843	0.405257331668931	0.48716242864867	0.455039155781559	0.221103531208332	0.341297409348043	0.409711552048833	0.29028116103725	0.446031803009694	0.623352161471323	0.15604569122503	0.359815089911904	0.423640993234747	0.484769398101135	0.58557568062452	0.265562498248666	0.284409673193869	0.285357485485379	0.518099778748311	0.194560558222103	0.589062510827151	0.449270475259392	0.163332435235931	0.487480421601397	0.430427480245394	0.399388157739208	0.327005017247326	0.406037219059481	0.443017628182585	0.414831855470796	0.425184566197952	0.390078263808817	0.392191844230521	0.465648838367643	0.396633329688581	0.328620886487609	0.321325771051816	0.713650467572822	0.60460585916404	0.347386646829046	0.510747832028472	0.227483709015104	0.256308864614457	0.459466327446828	0.230055183815027	0.417887752479863	0.444485905758991	0.257978829120438	0.189597683725788
"SRR11292137"	0.384359622178519	0.391284927458475	0.327243067250834	0.416658634178132	0.405062318618479	0.329370274400465	0.212093738250621	0.353136240672977	0.345617662063743	0.350811449156343	0.369854893665046	0.241328163012156	0.279504787536643	0.632979051736324	0.571241626873041	0.284339187335605	0.534931918795617	0.179087450678752	0.287033059224073	0.178383155803151	0.126603187815783	0.125408180690815	0.196392507895916	0.367217700924625	0.134892199560836	0.462972149487126	0.30060503921634	0.324979444775778	0.223609755177113	0.236658817196192	0.395755887244216	0.237179026984461	0.191590655280993	0.497843787427311	0.394004404747176	0.539395867555021	0.110095390774983	0.314293887276871	0.259723576502266	0.739209016561867	0.545936377482852	0.325141309219987	0.47045157153366	0.223647630847259	0.167585103031557	0.263518355731081	0.481651504947005	0.287699348362105	0.647572331906399	0.634055512601402	0.396140224489691	0.446126224467356	0.291248436459036	0.313231857182035	0.5373883284214	0.166108936811274	0.420259556746246	0.500257571507417	0.241378466530464	0.191727050812197	0.277799227462458	0.29042869105226	0.270268919648256	0.153828934968689	0.226948626070568	0.171448429415897	0.506603061945868	0.363311787126703	0.253680261930641	0.409600684312849	0.490175979553512	0.255132086881712	0.249494139226226	0.232387003185179	0.166999735489398	0.20505627875938	0.148712239153902	0.138662626274862	0.323478231350808	0.336903689621909
"SRR11292138"	0.278251247829729	0.317541066923077	0.277664919517025	0.29001241001673	0.283770680840962	0.755755399297186	0.295594441257133	0.639168689415554	0.395598490165857	0.472077726836432	0.613302486832862	0.644062114117617	0.602121230831425	0.540668915842852	0.240257185294268	0.293885821130525	0.531349603804892	0.664656286049291	0.523814649882258	0.532276844028253	0.595408854156517	0.764359850983567	0.4057200398277	0.40847249350113	0.854009182352725	0.16347070693203	0.570928241914582	0.274904296002144	0.387614614216441	0.524039069063356	0.295545268575044	0.435942171212863	0.893409254529997	0.726655294864511	0.573050368816665	0.671091057317977	0.709197652292807	0.674157328011367	0.357828734312309	0.575531290528818	0.659948681403101	0.361322197700199	0.427169073069219	0.555322606176755	0.649482523723819	0.600468862871198	0.28178512028286	0.436623091642588	0.674148181155698	0.840044849499065	0.399416674200078	0.612659932771885	0.462939959361633	0.387395851448839	0.539528030678606	0.543463447098983	0.471251833277584	0.340548224419473	0.647177591848083	0.677541621786497	0.506616052966026	0.485149307626059	0.645628579186848	0.569927936921106	0.596108088502636	0.619375865448714	0.659999877529898	0.548023666117845	0.782374963542504	0.771463036738724	0.723218487620935	0.57951455107163	0.401192146485188	0.811885224009002	0.739782565596808	0.428969303969059	0.580916934985303	0.703383587489997	0.293776072585978	0.392158956906181
"SRR11292140"	0.473737672559961	0.41163270032335	0.391752907031973	0.395839126791555	0.380317470181859	0.645697263647673	0.353233365310022	0.67522573564104	0.599318109820251	0.528797882201378	0.617179863573298	0.547792198575131	0.679236010654532	0.674017647087158	0.516112171562221	0.43678428918005	0.712213180847127	0.503413601974044	0.482117482010755	0.358929117066929	0.406979861436902	0.484767221208156	0.479833073908639	0.497911613488044	0.492424317938115	0.471943991477579	0.560266445562963	0.355308142474238	0.324021442370783	0.444372637637679	0.4374734128463	0.502581376077724	0.781940409215921	0.817062931464356	0.57327690630319	0.474948754675027	0.451415927896398	0.528493274468865	0.477186785206328	0.691075183544629	0.679033688275184	0.353840342460835	0.582803322669084	0.565551854483081	0.553563722232379	0.694130986914541	0.501723972911513	0.500377059524599	0.940646042302087	0.899024660576169	0.383701875619876	0.62780690898523	0.557905019069349	0.554232320781143	0.691924546383515	0.558900166732631	0.537707056884054	0.508755373684062	0.49497949123691	0.660408285366439	0.510317606469041	0.645948030160271	0.52114863740009	0.561724911839759	0.554691586978858	0.525786498247024	0.530463422615168	0.631381999617016	0.600848599165247	0.704761133142699	0.878534071095185	0.584329722332141	0.398137439952217	0.452274328277763	0.520069205016022	0.382328064231198	0.500607074895132	0.472209151821129	0.418038571064	0.543018597727401
"SRR11292141"	0.38865948956103	0.256536225570208	0.234019582646496	0.209490747760226	0.185781339282927	0.401838467128725	0.20473035931362	0.395073542505907	0.252465795407827	0.460915407945436	0.617207405488151	0.233879846016209	0.3995088441286	0.667296076801156	0.273113876594953	0.220042176675336	0.662025916962804	0.361119445377882	0.264981451948189	0.300265940992453	0.169682331868219	0.40095891180661	0.155185477125295	0.406712606773981	0.265619674633304	0.16347070693203	0.378235993065175	0.276269877181805	0.176884785300421	0.247745305327644	0.284619287405199	0.262027653632667	0.30676532317174	0.324793228452177	0.426192993080488	0.229792024482693	0.28157644772805	0.529152714701868	0.340662856413235	0.626250974017952	0.528599180079711	0.232393479997056	0.41905105217498	0.32537770871438	0.406879528282331	0.499285656528204	0.255815421058395	0.253852879376246	0.240949799432387	0.481557034110939	0.268394660146033	0.535314722746257	0.43908056302692	0.205772546690177	0.532474458411885	0.334781358794327	0.344204561669815	0.327005017247326	0.498849204018653	0.376844849648328	0.450061464702575	0.339444443537365	0.47937099987275	0.36572043894488	0.465536852219576	0.314007074772984	0.325974661209735	0.22884666376899	0.5172397724781	0.466341728487219	0.175596761629719	0.608340661980137	0.272078073483259	0.405020160963646	0.480469592519301	0.306992540390257	0.376185146704015	0.457987343791061	0.255767053210014	0.284830859653516
