SAMPLE_ID	Acidimicrobiia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Candidatus Babeliae	Candidatus Brocadiae	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Deinococci	Deltaproteobacteria	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Limnochordia	Methanobacteria	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Planctomycetia	Rubrobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermoleophilia	Thermomicrobia	Thermotogae	Tissierellia	Verrucomicrobiae	Vicinamibacteria
SAMPLE-1	0.0	0.0	1.816471528883535	0.30981806067650897	0.0	0.0	0.0	3.112906174572026	4.151482007285305	2.9721076810054465	0.0	0.0	0.0	0.0	0.0	0.30981806067650897	0.0	0.0	0.0	0.0	4.116078793004135	0.0	3.1326663325765307	0.0	0.0	0.0	2.190473593987197	0.0	0.0	2.339539882052644	0.0	0.0	0.0	2.0928054174295276	2.3577680408907074	0.0	2.291468929343619	0.0	0.0	0.0	0.0	0.0	3.116723529740089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.30981806067650897	0.0	0.0	0.0	0.0	0.0	0.0	0.9183543337871666	2.990511529139085	0.0
SAMPLE-10	0.0	0.0	2.5267255403523126	0.7444158015935884	0.0	0.0	0.0	3.708368073005023	1.5902815926241787	0.6057767850973786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.141542077828169	0.0	3.9182054761713867	0.0	0.0	0.0	1.1659772074935855	0.0	0.4009159840677617	1.555038412194186	0.0	0.0	0.4009159840677617	1.3758071142308796	3.5494494071136975	0.0	2.0240178905625013	0.0	0.0	0.0	0.0	0.0	2.4002552811710385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4009159840677617	3.3984341593870657	0.4009159840677617
SAMPLE-11	0.0	0.0	2.426034030818628	0.413477213395099	0.0	0.0	0.0	3.6369934369168604	3.5857936612384895	1.8703377002601735	0.0	0.0	0.0	0.0	0.25419248073477785	0.0	0.0	0.0	0.0	0.0	4.138331985894877	0.0	3.5783777706178665	0.25419248073477785	0.0	0.0	1.31990165901317	0.0	0.0	2.5702119835473	0.0	0.0	0.0	1.7713936890402389	2.378149321153151	0.0	0.7614147531133054	0.0	0.0	0.0	0.0	0.25419248073477785	2.667260087029728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25419248073477785	0.25419248073477785	0.0	0.0	0.0	0.0	0.6213961723324037	3.8373335720058432	0.0
SAMPLE-12	0.0	0.0	3.8025859754038813	1.36584046967336	0.0	0.0	0.0	2.4275283817057574	2.6060764213575256	1.36584046967336	0.0	0.0	0.0	0.0	0.0	0.8165534384217741	0.0	0.5771877644437666	0.5771877644437666	0.0	4.258102693136228	0.0	3.86083059183487	0.0	0.0	0.0	0.5771877644437666	0.0	0.5771877644437666	3.1095499347862217	0.0	0.0	0.5771877644437666	0.0	2.202240901098808	0.0	1.8121052012471115	0.0	0.0	0.5771877644437666	0.0	0.0	1.8807483067900181	0.0	0.0	0.0	0.0	0.5771877644437666	0.5771877644437666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.172800576526372	1.6300241095452133	0.0
SAMPLE-13	0.0	0.0	3.3287033666535923	1.716635545845104	0.9188967981911519	0.0	0.0	3.520303661023107	2.2458009393442455	2.028570321253097	0.0	0.0	0.0	0.0	0.6672911563351366	0.0	0.0	0.0	0.0	0.0	4.1773289358891335	0.6672911563351366	3.6467609728020247	0.0	0.0	0.0	2.013475560292413	0.0	1.6141687151624837	3.436727451797881	0.0	0.6672911563351366	1.423866156317775	2.702827578361501	3.561336534305092	0.0	3.0676085526385575	0.0	0.0	0.0	0.0	0.0	2.5500839628026095	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6672911563351366	1.4798076352830543	0.0	0.0	0.0	0.0	2.334951717644735	1.2842353096611347	0.0
SAMPLE-14	0.0	0.0	3.7208294217586264	1.096449754376612	0.0	0.0	0.0	2.482136761674788	2.384213503049759	0.9374095458972174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.683850001840157	4.210673683329002	0.0	3.9007764048818965	0.0	0.0	0.0	0.683850001840157	0.0	0.683850001840157	3.2967861594826564	0.0	0.0	1.6346598060970092	0.0	1.5942731751446544	2.238802060194033	2.1658345307011184	0.0	0.0	1.096449754376612	3.0576729989764155	0.0	2.6485109716025494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.683850001840157	0.0	0.0	0.0	0.0	0.0	0.0	1.9679880270528243	0.0
SAMPLE-15	0.0	0.0	1.297267869732269	0.6781083999754772	0.0	0.0	0.28810938735441777	2.533743693131869	3.9302221403249673	1.7870918197530268	0.0	0.0	0.0	0.0	0.0	0.0	0.28810938735441777	0.0	0.0	0.0	4.209317835285972	0.0	3.2324147592397487	0.4598069197221473	0.0	0.0	1.8374557650098378	0.0	0.0	2.955609375822184	0.0	0.0	0.4598069197221473	1.7870918197530268	1.7224332934183637	0.0	2.0033990393652745	0.0	0.0	0.0	0.0	1.3366647352870988	1.8549318845575071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28810938735441777	0.4598069197221473	0.0	0.0	0.0	0.0	0.0	1.6371079617777327	3.773865032791551	0.0
SAMPLE-16	0.0	0.0	2.3997771845711364	1.7913471107374341	0.0	0.0	0.5857306071258117	3.4981852507774827	3.9295738808525464	2.40468356274702	0.0	0.0	0.0	0.29021224199332835	0.0	0.0	0.0	0.0	0.0	0.0	4.116897534866361	0.0	2.578027672934644	0.5857306071258117	0.0	0.29021224199332835	1.301376308126148	0.0	0.6815298502680487	2.200939162512234	0.0	0.0	0.5857306071258117	2.1877418581543324	3.2611748229856135	0.0	0.5857306071258117	0.0	0.0	0.29021224199332835	0.0	0.29021224199332835	3.001773336993679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29021224199332835	0.0	0.0	0.0	0.0	0.0	0.7599690016189321	3.7194014232502424	0.0
SAMPLE-17	0.0	0.0	2.2602313951053308	0.0	0.0	0.0	0.0	3.148196545799095	3.377607323228625	1.4004045817647057	0.0	0.0	0.0	0.0	0.7655534559217696	0.20508437182199668	0.0	0.0	0.20508437182199668	0.0	4.098795260485156	0.0	3.250195134288978	0.0	0.20508437182199668	0.0	0.20508437182199668	0.0	0.34382472176151263	2.759198586669076	0.0	0.0	0.20508437182199668	2.2335114786869377	3.792104953907253	0.0	0.20508437182199668	0.0	0.0	0.0	0.0	0.4488099611357921	3.2293714920330285	0.0	0.0	0.0	0.0	0.20508437182199668	0.20508437182199668	0.0	0.0	0.5332924630393101	0.0	0.0	0.0	0.0	0.0	1.843889550817843	3.848631415344855	0.0
SAMPLE-18	0.0	0.0	3.464720619266874	0.520600456134749	0.0	0.0	0.0	2.335213126789399	2.9742400442184973	1.9660372917488238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.520600456134749	4.265873213545532	0.0	3.7507590881481008	0.0	0.0	0.0	0.33404063362066405	0.0	0.0	3.295123244772565	0.33404063362066405	0.0	1.235812368326104	0.0	2.209393116219695	0.0	3.4306459492805095	0.0	0.0	0.0	2.5872574894911455	0.0	2.734734936078721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7506460828742847	0.0	0.0	0.0	0.0	0.0	0.33404063362066405	1.8888781623189406	0.33404063362066405
