reads.in	reads.out
SRR31418681	109442	94052
SRR31418682	135350	130358
SRR31418683	117324	112803
SRR31418684	126745	110073
SRR31418685	152737	145096
SRR31418686	153139	146918
SRR31418687	105901	90200
SRR31418688	172982	165292
SRR31418689	156115	150793
SRR31418690	70427	60412
SRR31418691	172324	164876
SRR31418692	146671	141330
SRR31418693	66334	56876
SRR31418694	167108	160048
SRR31418695	140097	135069
SRR31418696	105367	90571
SRR31418697	143418	137025
SRR31418698	148804	143134
SRR31418699	150347	145027
SRR31418700	76593	62430
SRR31418701	143127	137341
SRR31418702	109986	105685
SRR31418703	111649	95300
SRR31418704	104741	100625
SRR31418705	139769	134096
SRR31418706	88259	75921
SRR31418707	129406	124089
SRR31418708	126954	122299
SRR31418709	160773	154512
SRR31418710	102162	87608
