reads.in	reads.out
SRR39238445	114512	104466
SRR39238446	133815	125338
SRR39238447	111605	107365
SRR39238448	113331	108697
SRR39238449	112808	108344
SRR39238450	134433	126270
SRR39238451	107086	95667
SRR39238452	114004	110370
SRR39238453	103133	97522
SRR39238454	105157	101609
SRR39238455	100510	96785
SRR39238456	92128	89040
SRR39238457	90723	88277
SRR39238471	106389	102547
SRR39238481	91554	88207
SRR39238492	91470	88136
SRR39238495	88958	81391
SRR39238496	105699	102452
SRR39238497	114896	103662
SRR39238498	94045	90620
SRR39238499	105783	98515
SRR39238500	106030	99250
SRR39238501	118976	114180
SRR39238502	116254	112022
SRR39238503	103214	99798
SRR39238504	139811	131511
SRR39238505	91861	87052
SRR39238506	132228	124408
SRR39238507	91456	84354
SRR39238508	89356	81684
SRR39238510	101286	97672
SRR39238511	106490	100388
SRR39238512	106511	100240
SRR39238513	106227	99775
SRR39238514	103773	97951
SRR39238515	106357	100218
SRR39238516	133281	126905
SRR39238517	114745	107943
SRR39238518	132342	126182
SRR39238519	98674	95368
SRR39238520	106344	100197
SRR39238521	98234	94759
SRR39238522	90868	88032
SRR39238523	90837	87192
SRR39238524	91368	87056
SRR39238525	93161	89911
SRR39238526	120916	116508
SRR39238527	103613	97611
SRR39238528	104977	98974
SRR39238529	103818	97906
SRR39238530	103962	97935
SRR39238531	99471	94092
SRR39238532	91434	88256
SRR39238533	105319	102123
SRR39238534	95664	91929
SRR39238535	108950	104451
SRR39238536	101546	97372
SRR39238537	104798	101715
SRR39238538	106492	102981
SRR39238539	103098	99894
SRR39238540	105828	102442
SRR39238541	102155	97725
SRR39238552	88005	84596
SRR39238553	107733	104122
SRR39238554	93048	89110
