reads.in	reads.out
SRR39238458	112255	101393
SRR39238459	102233	88322
SRR39238460	102879	99907
SRR39238461	80905	76427
SRR39238462	106144	98432
SRR39238463	49754	47085
SRR39238464	102901	99737
SRR39238465	102232	97886
SRR39238466	104050	100576
SRR39238467	106452	103290
SRR39238468	97738	87968
SRR39238469	105052	101595
SRR39238470	92217	89056
SRR39238472	92014	89524
SRR39238473	68053	65952
SRR39238474	93417	90589
SRR39238475	94351	90946
SRR39238476	91159	88457
SRR39238477	112131	108748
SRR39238478	133661	126345
SRR39238479	143256	134120
SRR39238480	109722	102845
SRR39238482	90722	84250
SRR39238483	83258	76134
SRR39238484	83208	80984
SRR39238485	69243	66510
SRR39238486	91528	87820
SRR39238487	90503	86384
SRR39238488	103221	97371
SRR39238489	102441	96975
SRR39238490	106026	99839
SRR39238491	106167	99525
SRR39238493	91899	89472
SRR39238494	102678	97164
SRR39238509	92504	87012
SRR39238542	104213	98345
SRR39238543	104361	98056
SRR39238544	222973	205378
SRR39238545	104777	94879
SRR39238546	109686	104993
SRR39238547	117266	105308
SRR39238548	60636	58602
SRR39238549	93665	91117
SRR39238550	80929	78289
SRR39238551	83976	81557
